instance,solver-opt2_result,solver-opt2_wall_time,solver-opt2_solve_time,solver-opt2_rules,solver-opt2-dl_result,solver-opt2-dl_wall_time,solver-opt2-dl_solve_time,solver-opt2-dl_rules
1.lp,TIMEOUT,20.000,0.000,0,SAT,13.382,12.350,223185.0
10.lp,SAT,0.800,0.416,102554.0,SAT,0.533,0.092,116909.0
11.lp,TIMEOUT,20.000,0.000,0,TIMEOUT,20.000,0.000,0
12.lp,SAT,0.448,0.163,84505.0,SAT,0.749,0.414,96597.0
13.lp,SAT,1.001,0.352,145606.0,SAT,6.032,5.321,165171.0
14.lp,SAT,4.420,3.150,227694.0,SAT,1.614,0.308,256539.0
15.lp,SAT,1.618,0.963,145786.0,SAT,0.850,0.165,165387.0
16.lp,SAT,0.425,0.049,102239.0,SAT,0.449,0.044,116531.0
17.lp,SAT,1.530,1.020,123261.0,SAT,0.904,0.321,140181.0
18.lp,TIMEOUT,20.000,0.000,0,SAT,8.352,7.516,192839.0
19.lp,SAT,0.237,0.030,68459.0,SAT,0.484,0.258,78477.0
2.lp,SAT,3.728,3.114,145486.0,SAT,1.935,1.275,165027.0
20.lp,TIMEOUT,20.000,0.000,0,TIMEOUT,20.000,0.000,0
21.lp,SAT,1.147,0.785,101919.0,SAT,8.317,7.913,116147.0
22.lp,SAT,4.858,4.357,122916.0,SAT,1.537,1.010,139767.0
23.lp,SAT,0.223,0.034,68039.0,SAT,0.334,0.124,77973.0
24.lp,TIMEOUT,20.000,0.000,0,SAT,14.664,13.968,165525.0
25.lp,TIMEOUT,20.000,0.000,0,TIMEOUT,20.000,0.000,0
26.lp,SAT,0.630,0.212,102509.0,SAT,0.661,0.249,116855.0
27.lp,SAT,0.511,0.224,84500.0,SAT,0.809,0.494,96591.0
28.lp,TIMEOUT,20.000,0.000,0,TIMEOUT,20.000,0.000,0
29.lp,SAT,6.088,4.752,228074.0,SAT,5.715,4.353,256995.0
3.lp,SAT,0.357,0.156,68399.0,SAT,0.629,0.407,78405.0
30.lp,SAT,0.426,0.130,84340.0,SAT,0.415,0.100,96399.0
31.lp,TIMEOUT,20.000,0.000,0,TIMEOUT,20.000,0.000,0
32.lp,SAT,1.577,0.567,197915.0,SAT,3.939,2.866,223479.0
33.lp,TIMEOUT,20.000,0.000,0,SAT,19.176,18.098,223473.0
34.lp,TIMEOUT,20.000,0.000,0,SAT,0.752,0.077,165009.0
35.lp,TIMEOUT,20.000,0.000,0,SAT,18.054,17.398,164673.0
36.lp,TIMEOUT,20.000,0.000,0,TIMEOUT,20.000,0.000,0
37.lp,SAT,2.737,1.160,260531.0,TIMEOUT,20.000,0.000,0
38.lp,TIMEOUT,20.000,0.000,0,TIMEOUT,20.000,0.000,0
39.lp,TIMEOUT,20.000,0.000,0,TIMEOUT,20.000,0.000,0
4.lp,SAT,11.686,10.087,260376.0,TIMEOUT,20.000,0.000,0
40.lp,TIMEOUT,20.000,0.000,0,TIMEOUT,20.000,0.000,0
41.lp,SAT,0.966,0.298,145761.0,SAT,7.993,7.265,165357.0
42.lp,SAT,4.040,3.256,170589.0,TIMEOUT,20.000,0.000,0
43.lp,SAT,0.625,0.436,67994.0,SAT,0.349,0.143,77919.0
44.lp,SAT,0.578,0.388,67989.0,SAT,2.288,2.078,77913.0
45.lp,SAT,0.794,0.124,145431.0,SAT,18.595,17.896,164961.0
46.lp,SAT,4.386,2.836,260141.0,SAT,3.468,1.876,292481.0
47.lp,SAT,3.012,0.955,295116.0,SAT,4.671,2.529,331119.0
48.lp,SAT,0.673,0.308,102079.0,SAT,2.572,2.167,116339.0
49.lp,SAT,3.139,2.944,68114.0,SAT,0.733,0.518,78063.0
5.lp,SAT,6.658,5.391,227674.0,SAT,1.462,0.184,256515.0
50.lp,TIMEOUT,20.000,0.000,0,TIMEOUT,20.000,0.000,0
6.lp,SAT,0.396,0.118,84145.0,SAT,0.559,0.262,96165.0
7.lp,SAT,1.920,0.241,260611.0,SAT,12.332,10.614,293045.0
8.lp,TIMEOUT,20.000,0.000,0,TIMEOUT,20.000,0.000,0
9.lp,SAT,0.981,0.504,123036.0,SAT,4.265,3.742,139911.0
